Fecha,Turno,Posicion,Numero
11/07/2024,Nocturna,11,997
11/07/2024,Nocturna,12,008
11/07/2024,Nocturna,13,268
11/07/2024,Nocturna,14,906
11/07/2024,Nocturna,15,294
11/07/2024,Nocturna,16,394
11/07/2024,Nocturna,17,766
11/07/2024,Nocturna,18,606
11/07/2024,Nocturna,19,292
11/07/2024,Nocturna,20,670
11/07/2024,Vespertina,01,319
11/07/2024,Vespertina,02,574
11/07/2024,Vespertina,03,722
11/07/2024,Vespertina,04,835
11/07/2024,Vespertina,05,425
11/07/2024,Vespertina,06,455
11/07/2024,Vespertina,07,495
11/07/2024,Vespertina,08,233
11/07/2024,Vespertina,09,553
11/07/2024,Vespertina,10,711
11/07/2024,Vespertina,11,044
11/07/2024,Vespertina,12,508
11/07/2024,Vespertina,13,171
11/07/2024,Vespertina,14,622
11/07/2024,Vespertina,15,697
11/07/2024,Vespertina,16,255
11/07/2024,Vespertina,17,657
11/07/2024,Vespertina,18,447
11/07/2024,Vespertina,19,945
11/07/2024,Vespertina,20,006
10/07/2024,Nocturna,01,426
10/07/2024,Nocturna,02,819
10/07/2024,Nocturna,03,039
10/07/2024,Nocturna,04,283
10/07/2024,Nocturna,05,461
10/07/2024,Nocturna,06,639
10/07/2024,Nocturna,07,131
10/07/2024,Nocturna,08,458
10/07/2024,Nocturna,09,580
10/07/2024,Nocturna,10,824
10/07/2024,Nocturna,11,777
10/07/2024,Nocturna,12,247
10/07/2024,Nocturna,13,386
10/07/2024,Nocturna,14,189
10/07/2024,Nocturna,15,378
10/07/2024,Nocturna,16,024
10/07/2024,Nocturna,17,610
10/07/2024,Nocturna,18,060
10/07/2024,Nocturna,19,472
10/07/2024,Nocturna,20,876
10/07/2024,Vespertina,01,132
10/07/2024,Vespertina,02,312
10/07/2024,Vespertina,03,936
10/07/2024,Vespertina,04,870
10/07/2024,Vespertina,05,127
10/07/2024,Vespertina,06,056
10/07/2024,Vespertina,07,386
10/07/2024,Vespertina,08,089
10/07/2024,Vespertina,09,920
10/07/2024,Vespertina,10,739
10/07/2024,Vespertina,11,478
10/07/2024,Vespertina,12,317
10/07/2024,Vespertina,13,387
10/07/2024,Vespertina,14,706
10/07/2024,Vespertina,15,771
10/07/2024,Vespertina,16,135
10/07/2024,Vespertina,17,986
10/07/2024,Vespertina,18,008
10/07/2024,Vespertina,19,674
10/07/2024,Vespertina,20,167
09/07/2024,Nocturna,01,485
09/07/2024,Nocturna,02,475
09/07/2024,Nocturna,03,852
09/07/2024,Nocturna,04,731
09/07/2024,Nocturna,05,037
09/07/2024,Nocturna,06,861
09/07/2024,Nocturna,07,801
09/07/2024,Nocturna,08,879
09/07/2024,Nocturna,09,993
09/07/2024,Nocturna,10,726
09/07/2024,Nocturna,11,808
09/07/2024,Nocturna,12,651
09/07/2024,Nocturna,13,685
09/07/2024,Nocturna,14,298
09/07/2024,Nocturna,15,372
09/07/2024,Nocturna,16,926
09/07/2024,Nocturna,17,936
09/07/2024,Nocturna,18,416
09/07/2024,Nocturna,19,612
09/07/2024,Nocturna,20,092
09/07/2024,Vespertina,01,960
09/07/2024,Vespertina,02,595
09/07/2024,Vespertina,03,221
09/07/2024,Vespertina,04,489
09/07/2024,Vespertina,05,033
09/07/2024,Vespertina,06,202
09/07/2024,Vespertina,07,490
09/07/2024,Vespertina,08,561
09/07/2024,Vespertina,09,665
09/07/2024,Vespertina,10,799
09/07/2024,Vespertina,11,265
09/07/2024,Vespertina,12,082
09/07/2024,Vespertina,13,478
09/07/2024,Vespertina,14,812
09/07/2024,Vespertina,15,425
09/07/2024,Vespertina,16,276
09/07/2024,Vespertina,17,056
09/07/2024,Vespertina,18,345
09/07/2024,Vespertina,19,648
09/07/2024,Vespertina,20,015
08/07/2024,Nocturna,01,425
08/07/2024,Nocturna,02,788
08/07/2024,Nocturna,03,963
08/07/2024,Nocturna,04,245
08/07/2024,Nocturna,05,884
08/07/2024,Nocturna,06,824
08/07/2024,Nocturna,07,927
08/07/2024,Nocturna,08,635
08/07/2024,Nocturna,09,437
08/07/2024,Nocturna,10,617
08/07/2024,Nocturna,11,346
08/07/2024,Nocturna,12,176
08/07/2024,Nocturna,13,181
08/07/2024,Nocturna,14,282
08/07/2024,Nocturna,15,232
08/07/2024,Nocturna,16,730
08/07/2024,Nocturna,17,392
08/07/2024,Nocturna,18,918
08/07/2024,Nocturna,19,436
08/07/2024,Nocturna,20,227
08/07/2024,Vespertina,01,983
08/07/2024,Vespertina,02,961
08/07/2024,Vespertina,03,279
08/07/2024,Vespertina,04,372
08/07/2024,Vespertina,05,463
08/07/2024,Vespertina,06,948
08/07/2024,Vespertina,07,988
08/07/2024,Vespertina,08,453
08/07/2024,Vespertina,09,342
08/07/2024,Vespertina,10,850
08/07/2024,Vespertina,11,423
08/07/2024,Vespertina,12,909
08/07/2024,Vespertina,13,224
08/07/2024,Vespertina,14,036
08/07/2024,Vespertina,15,387
08/07/2024,Vespertina,16,031
08/07/2024,Vespertina,17,342
08/07/2024,Vespertina,18,202
08/07/2024,Vespertina,19,363
08/07/2024,Vespertina,20,638
06/07/2024,Nocturna,01,452
06/07/2024,Nocturna,02,094
06/07/2024,Nocturna,03,560
06/07/2024,Nocturna,04,655
06/07/2024,Nocturna,05,177
06/07/2024,Nocturna,06,428
06/07/2024,Nocturna,07,538
06/07/2024,Nocturna,08,695
06/07/2024,Nocturna,09,046
06/07/2024,Nocturna,10,406
06/07/2024,Nocturna,11,667
06/07/2024,Nocturna,12,160
06/07/2024,Nocturna,13,649
06/07/2024,Nocturna,14,249
06/07/2024,Nocturna,15,436
06/07/2024,Nocturna,16,667
06/07/2024,Nocturna,17,598
06/07/2024,Nocturna,18,239
06/07/2024,Nocturna,19,911
06/07/2024,Nocturna,20,793
05/07/2024,Nocturna,01,074
05/07/2024,Nocturna,02,672
05/07/2024,Nocturna,03,243
05/07/2024,Nocturna,04,457
05/07/2024,Nocturna,05,553
05/07/2024,Nocturna,06,910
05/07/2024,Nocturna,07,333
05/07/2024,Nocturna,08,678
05/07/2024,Nocturna,09,149
05/07/2024,Nocturna,10,049
05/07/2024,Nocturna,11,744
05/07/2024,Nocturna,12,815
05/07/2024,Nocturna,13,684
05/07/2024,Nocturna,14,399
05/07/2024,Nocturna,15,239
05/07/2024,Nocturna,16,085
05/07/2024,Nocturna,17,173
05/07/2024,Nocturna,18,228
05/07/2024,Nocturna,19,232
05/07/2024,Nocturna,20,813
05/07/2024,Vespertina,01,327
05/07/2024,Vespertina,02,207
05/07/2024,Vespertina,03,695
05/07/2024,Vespertina,04,931
05/07/2024,Vespertina,05,223
05/07/2024,Vespertina,06,949
05/07/2024,Vespertina,07,406
05/07/2024,Vespertina,08,090
05/07/2024,Vespertina,09,280
05/07/2024,Vespertina,10,139
05/07/2024,Vespertina,11,772
05/07/2024,Vespertina,12,722
05/07/2024,Vespertina,13,788
05/07/2024,Vespertina,14,180
05/07/2024,Vespertina,15,114
05/07/2024,Vespertina,16,423
05/07/2024,Vespertina,17,103
05/07/2024,Vespertina,18,615
05/07/2024,Vespertina,19,012
05/07/2024,Vespertina,20,774
04/07/2024,Nocturna,01,430
04/07/2024,Nocturna,02,864
04/07/2024,Nocturna,03,634
04/07/2024,Nocturna,04,613
04/07/2024,Nocturna,05,429
04/07/2024,Nocturna,06,348
04/07/2024,Nocturna,07,845
04/07/2024,Nocturna,08,131
04/07/2024,Nocturna,09,641
04/07/2024,Nocturna,10,468
04/07/2024,Nocturna,11,063
04/07/2024,Nocturna,12,143
04/07/2024,Nocturna,13,606
04/07/2024,Nocturna,14,097
04/07/2024,Nocturna,15,578
04/07/2024,Nocturna,16,850
04/07/2024,Nocturna,17,059
04/07/2024,Nocturna,18,214
04/07/2024,Nocturna,19,800
04/07/2024,Nocturna,20,933
04/07/2024,Vespertina,01,447
04/07/2024,Vespertina,02,033
04/07/2024,Vespertina,03,406
04/07/2024,Vespertina,04,212
04/07/2024,Vespertina,05,199
04/07/2024,Vespertina,06,128
04/07/2024,Vespertina,07,478
04/07/2024,Vespertina,08,503
04/07/2024,Vespertina,09,464
04/07/2024,Vespertina,10,351
04/07/2024,Vespertina,11,959
04/07/2024,Vespertina,12,266
04/07/2024,Vespertina,13,661
04/07/2024,Vespertina,14,674
04/07/2024,Vespertina,15,450
04/07/2024,Vespertina,16,004
04/07/2024,Vespertina,17,273
04/07/2024,Vespertina,18,805
04/07/2024,Vespertina,19,132
04/07/2024,Vespertina,20,829
03/07/2024,Nocturna,01,641
03/07/2024,Nocturna,02,219
03/07/2024,Nocturna,03,305
03/07/2024,Nocturna,04,360
03/07/2024,Nocturna,05,169
03/07/2024,Nocturna,06,736
03/07/2024,Nocturna,07,729
03/07/2024,Nocturna,08,639
03/07/2024,Nocturna,09,889
03/07/2024,Nocturna,10,377
03/07/2024,Nocturna,11,198
03/07/2024,Nocturna,12,756
03/07/2024,Nocturna,13,017
03/07/2024,Nocturna,14,135
03/07/2024,Nocturna,15,043
03/07/2024,Nocturna,16,939
03/07/2024,Nocturna,17,351
03/07/2024,Nocturna,18,084
03/07/2024,Nocturna,19,030
03/07/2024,Nocturna,20,038
03/07/2024,Vespertina,01,358
03/07/2024,Vespertina,02,961
03/07/2024,Vespertina,03,801
03/07/2024,Vespertina,04,406
03/07/2024,Vespertina,05,735
03/07/2024,Vespertina,06,455
03/07/2024,Vespertina,07,003
03/07/2024,Vespertina,08,259
03/07/2024,Vespertina,09,394
03/07/2024,Vespertina,10,166
03/07/2024,Vespertina,11,790
03/07/2024,Vespertina,12,301
03/07/2024,Vespertina,13,284
03/07/2024,Vespertina,14,810
03/07/2024,Vespertina,15,810
03/07/2024,Vespertina,16,502
03/07/2024,Vespertina,17,684
03/07/2024,Vespertina,18,564
03/07/2024,Vespertina,19,285
03/07/2024,Vespertina,20,197
02/07/2024,Nocturna,01,200
02/07/2024,Nocturna,02,075
02/07/2024,Nocturna,03,011
02/07/2024,Nocturna,04,029
02/07/2024,Nocturna,05,680
02/07/2024,Nocturna,06,657
02/07/2024,Nocturna,07,218
02/07/2024,Nocturna,08,734
02/07/2024,Nocturna,09,191
02/07/2024,Nocturna,10,511
02/07/2024,Nocturna,11,904
02/07/2024,Nocturna,12,211
02/07/2024,Nocturna,13,063
02/07/2024,Nocturna,14,375
02/07/2024,Nocturna,15,098
02/07/2024,Nocturna,16,675
02/07/2024,Nocturna,17,402
02/07/2024,Nocturna,18,221
02/07/2024,Nocturna,19,595
02/07/2024,Nocturna,20,519
02/07/2024,Vespertina,01,200
02/07/2024,Vespertina,02,075
02/07/2024,Vespertina,03,011
02/07/2024,Vespertina,04,029
02/07/2024,Vespertina,05,680
02/07/2024,Vespertina,06,657
02/07/2024,Vespertina,07,218
02/07/2024,Vespertina,08,734
02/07/2024,Vespertina,09,191
02/07/2024,Vespertina,10,511
02/07/2024,Vespertina,11,904
02/07/2024,Vespertina,12,211
02/07/2024,Vespertina,13,063
02/07/2024,Vespertina,14,375
02/07/2024,Vespertina,15,098
02/07/2024,Vespertina,16,675
02/07/2024,Vespertina,17,402
02/07/2024,Vespertina,18,221
02/07/2024,Vespertina,19,595
02/07/2024,Vespertina,20,519
01/07/2024,Vespertina,01,175
01/07/2024,Vespertina,02,502
01/07/2024,Vespertina,03,045
01/07/2024,Vespertina,04,596
01/07/2024,Vespertina,05,164
01/07/2024,Vespertina,06,853
01/07/2024,Vespertina,07,135
01/07/2024,Vespertina,08,668
01/07/2024,Vespertina,09,676
01/07/2024,Vespertina,10,267
01/07/2024,Vespertina,11,613
01/07/2024,Vespertina,12,070
01/07/2024,Vespertina,13,549
01/07/2024,Vespertina,14,064
01/07/2024,Vespertina,15,131
01/07/2024,Vespertina,16,013
01/07/2024,Vespertina,17,710
01/07/2024,Vespertina,18,932
01/07/2024,Vespertina,19,336
01/07/2024,Vespertina,20,392
29/06/2024,Nocturna,01,905
29/06/2024,Nocturna,02,058
29/06/2024,Nocturna,03,162
29/06/2024,Nocturna,04,848
29/06/2024,Nocturna,05,147
29/06/2024,Nocturna,06,814
29/06/2024,Nocturna,07,426
29/06/2024,Nocturna,08,911
29/06/2024,Nocturna,09,978
29/06/2024,Nocturna,10,897
29/06/2024,Nocturna,11,036
29/06/2024,Nocturna,12,192
29/06/2024,Nocturna,13,899
29/06/2024,Nocturna,14,820
29/06/2024,Nocturna,15,268
29/06/2024,Nocturna,16,014
29/06/2024,Nocturna,17,240
29/06/2024,Nocturna,18,367
29/06/2024,Nocturna,19,583
29/06/2024,Nocturna,20,295
28/06/2024,Nocturna,01,370
28/06/2024,Nocturna,02,749
28/06/2024,Nocturna,03,102
28/06/2024,Nocturna,04,289
28/06/2024,Nocturna,05,766
28/06/2024,Nocturna,06,400
28/06/2024,Nocturna,07,713
28/06/2024,Nocturna,08,839
28/06/2024,Nocturna,09,797
28/06/2024,Nocturna,10,234
28/06/2024,Nocturna,11,156
28/06/2024,Nocturna,12,646
28/06/2024,Nocturna,13,586
28/06/2024,Nocturna,14,384
28/06/2024,Nocturna,15,600
28/06/2024,Nocturna,16,428
28/06/2024,Nocturna,17,168
28/06/2024,Nocturna,18,511
28/06/2024,Nocturna,19,354
28/06/2024,Nocturna,20,534
28/06/2024,Vespertina,01,652
28/06/2024,Vespertina,02,094
28/06/2024,Vespertina,03,882
28/06/2024,Vespertina,04,122
28/06/2024,Vespertina,05,662
28/06/2024,Vespertina,06,836
28/06/2024,Vespertina,07,389
